source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260922&playType=FSPF&t=1,2026-09-23T04:01:37Z,001,2026-09-23T04:01:37Z,Asian Games Men,2026,2026-09-22,South Korea U23,Saudi Arabia U23,2,0,H,0,0,D,,90_minutes,韩国U23,沙特阿拉伯U23
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260922&playType=FSPF&t=1,2026-09-23T04:01:37Z,002,2026-09-23T04:01:37Z,EFL Trophy,2026/27,2026-09-22,Milton Keynes Dons,Crawley Town,4,1,H,2,0,H,,90_minutes,米尔顿凯恩斯,克劳利
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260922&playType=FSPF&t=1,2026-09-23T04:01:37Z,003,2026-09-23T04:01:37Z,EFL Trophy,2026/27,2026-09-22,Notts County,Grimsby Town,2,1,H,1,0,H,,90_minutes,诺茨郡,格里姆斯比
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260922&playType=FSPF&t=1,2026-09-23T04:01:37Z,004,2026-09-23T04:01:37Z,EFL Trophy,2026/27,2026-09-22,Wigan Athletic,Blackpool,3,2,H,1,0,H,,90_minutes,维冈竞技,布莱克浦
