source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,1,2026-09-06T03:58:38Z,J1 League,2026,2026-09-05,Avispa Fukuoka,Mito Hollyhock,1,1,D,0,0,D,Matchday 6,90_minutes,Avispa Fukuoka,Mito Hollyhock
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,2,2026-09-06T03:58:38Z,J2 League,2026,2026-09-05,Montedio Yamagata,Ventforet Kofu,1,2,A,0,2,A,Matchday 5,90_minutes,Montedio Yamagata,Ventforet Kofu
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,3,2026-09-06T03:58:38Z,K League 1,2026,2026-09-05,Jeju SK,Ulsan HD,0,0,D,0,0,D,Matchday 27,90_minutes,Jeju SK,Ulsan HD
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,4,2026-09-06T03:58:38Z,Premier League,2026-27,2026-09-05,Newcastle,Bournemouth,2,2,D,0,2,A,Matchday 3,90_minutes,Newcastle United,AFC Bournemouth
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,5,2026-09-06T03:58:38Z,Championship,2026-27,2026-09-05,Lincoln City,Southampton,1,1,D,0,1,A,Matchday 5,90_minutes,Lincoln City,Southampton FC
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,6,2026-09-06T03:58:38Z,Serie A,2026-27,2026-09-05,Fiorentina,Torino,1,2,A,0,0,D,Matchday 3,90_minutes,ACF Fiorentina,Torino FC
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,7,2026-09-06T03:58:38Z,Bundesliga,2026-27,2026-09-05,Monchengladbach,Elversberg,3,4,A,2,1,H,Matchday 2,90_minutes,Borussia Mönchengladbach,SV Elversberg
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,8,2026-09-06T03:58:38Z,Bundesliga,2026-27,2026-09-05,Werder Bremen,RB Leipzig,3,1,H,1,0,H,Matchday 2,90_minutes,SV Werder Bremen,RB Leipzig
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,9,2026-09-06T03:58:38Z,Bundesliga,2026-27,2026-09-05,Paderborn,Freiburg,0,1,A,0,1,A,Matchday 2,90_minutes,SC Paderborn 07,SC Freiburg
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,10,2026-09-06T03:58:38Z,Bundesliga,2026-27,2026-09-05,Hoffenheim,Dortmund,2,3,A,1,0,H,Matchday 2,90_minutes,TSG Hoffenheim,Borussia Dortmund
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,11,2026-09-06T03:58:38Z,Bundesliga,2026-27,2026-09-05,Leverkusen,Union Berlin,4,0,H,2,0,H,Matchday 2,90_minutes,Bayer Leverkusen,1. FC Union Berlin
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,12,2026-09-06T03:58:38Z,Premier League,2026-27,2026-09-05,Nottingham Forest,Tottenham,0,0,D,0,0,D,Matchday 3,90_minutes,Nottingham Forest,Tottenham Hotspur
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,13,2026-09-06T03:58:38Z,Premier League,2026-27,2026-09-05,Manchester City,Coventry,1,0,H,1,0,H,Matchday 3,90_minutes,Manchester City,Coventry City
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,14,2026-09-06T03:58:38Z,Premier League,2026-27,2026-09-05,Brentford,Sunderland,1,1,D,0,0,D,Matchday 3,90_minutes,Brentford FC,Sunderland AFC
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,15,2026-09-06T03:58:38Z,Premier League,2026-27,2026-09-05,Fulham,Crystal Palace,2,3,A,2,1,H,Matchday 3,90_minutes,Fulham FC,Crystal Palace
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,16,2026-09-06T03:58:38Z,La Liga,2026-27,2026-09-05,Ath Bilbao,Atletico Madrid,3,0,H,0,0,D,Matchday 4,90_minutes,Athletic Club,Atlético Madrid
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,17,2026-09-06T03:58:38Z,Ligue 1,2026-27,2026-09-05,Lens,Lorient,0,1,A,0,0,D,Matchday 3,90_minutes,RC Lens,FC Lorient
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,18,2026-09-06T03:58:38Z,Serie A,2026-27,2026-09-05,Inter,Napoli,3,2,H,0,0,D,Matchday 3,90_minutes,Inter Milan,SSC Napoli
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,19,2026-09-06T03:58:38Z,Eliteserien,2026,2026-09-05,Brann,Lillestrom,1,2,A,0,2,A,Matchday 20,90_minutes,SK Brann,Lillestrøm SK
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,20,2026-09-06T03:58:38Z,Premier League,2026-27,2026-09-05,Hull,Aston Villa,0,0,D,0,0,D,Matchday 3,90_minutes,Hull City,Aston Villa
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,21,2026-09-06T03:58:38Z,Bundesliga,2026-27,2026-09-05,Schalke 04,Bayern Munich,0,0,D,0,0,D,Matchday 2,90_minutes,FC Schalke 04,FC Bayern München
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,22,2026-09-06T03:58:38Z,La Liga,2026-27,2026-09-05,Rayo Vallecano,Racing Santander,3,2,H,2,2,D,Matchday 4,90_minutes,Rayo Vallecano,Racing de Santander
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,23,2026-09-06T03:58:38Z,Primeira Liga,2026-27,2026-09-05,Maritimo,Benfica,0,3,A,0,1,A,Matchday 5,90_minutes,CS Marítimo,SL Benfica
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,24,2026-09-06T03:58:38Z,Saudi Pro League,2026-27,2026-09-05,Al Ittihad,Al Nassr,2,1,H,2,1,H,Matchday 5,90_minutes,Al-Ittihad Club,Al-Nassr FC
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,25,2026-09-06T03:58:38Z,Eredivisie,2026-27,2026-09-05,Ajax,PSV Eindhoven,1,3,A,1,2,A,Matchday 5,90_minutes,AFC Ajax,PSV Eindhoven
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,26,2026-09-06T03:58:38Z,Serie A,2026-27,2026-09-05,Roma,Atalanta,2,1,H,0,0,D,Matchday 3,90_minutes,AS Roma,Atalanta BC
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,27,2026-09-06T03:58:38Z,Ligue 1,2026-27,2026-09-05,Le Havre,Brest,1,2,A,0,1,A,Matchday 3,90_minutes,Le Havre AC,Stade Brestois 29
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,28,2026-09-06T03:58:38Z,La Liga,2026-27,2026-09-05,Villarreal,Deportivo La Coruna,2,3,A,1,1,D,Matchday 4,90_minutes,Villarreal CF,Deportivo de La Coruña
zgzcw/result-crosscheck,https://cp.zgzcw.com/dc/getKaijiangFootBall.action,2026-09-06T03:58:38Z,29,2026-09-06T03:58:38Z,Serie A Brazil,2026,2026-09-05,Bragantino,Bahia,2,3,A,2,2,D,Matchday 24,90_minutes,Red Bull Bragantino,EC Bahia
