source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260919&playType=FSPF&t=1,2026-09-20T04:01:24Z,001,2026-09-20T04:01:24Z,J1 League,2026,2026-09-19,V-Varen Nagasaki,Cerezo Osaka,1,1,D,1,0,H,,90_minutes,长崎航海,大阪樱花
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260919&playType=FSPF&t=1,2026-09-20T04:01:24Z,002,2026-09-20T04:01:24Z,J2 League,2026,2026-09-19,Fujieda MYFC,Omiya Ardija,1,1,D,1,0,H,,90_minutes,藤枝MYFC,大宫松鼠
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260919&playType=FSPF&t=1,2026-09-20T04:01:24Z,003,2026-09-20T04:01:24Z,K League 1,2026,2026-09-19,FC Anyang,Ulsan HD,2,1,H,1,0,H,,90_minutes,FC安养,蔚山现代
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260919&playType=FSPF&t=1,2026-09-20T04:01:24Z,004,2026-09-20T04:01:24Z,J1 League,2026,2026-09-19,Yokohama F. Marinos,Mito HollyHock,2,0,H,1,0,H,,90_minutes,横滨水手,水户蜀葵
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260919&playType=FSPF&t=1,2026-09-20T04:01:24Z,005,2026-09-20T04:01:24Z,Premier League,2026-27,2026-09-19,Tottenham Hotspur,Aston Villa,2,3,A,0,1,A,,90_minutes,热刺,阿斯顿维拉
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260919&playType=FSPF&t=1,2026-09-20T04:01:24Z,006,2026-09-20T04:01:24Z,Championship,2026-27,2026-09-19,Stoke City,Sheffield United,2,1,H,0,0,D,,90_minutes,斯托克城,谢菲尔德联
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260919&playType=FSPF&t=1,2026-09-20T04:01:24Z,007,2026-09-20T04:01:24Z,La Liga,2026-27,2026-09-19,Osasuna,Rayo Vallecano,1,1,D,1,0,H,,90_minutes,奥萨苏纳,巴列卡诺
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260919&playType=FSPF&t=1,2026-09-20T04:01:24Z,008,2026-09-20T04:01:24Z,Serie A,2026-27,2026-09-19,Udinese,Cagliari,0,1,A,0,0,D,,90_minutes,乌迪内斯,卡利亚里
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260919&playType=FSPF&t=1,2026-09-20T04:01:24Z,009,2026-09-20T04:01:24Z,Serie A,2026-27,2026-09-19,Bologna,Torino,1,1,D,1,0,H,,90_minutes,博洛尼亚,都灵
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260919&playType=FSPF&t=1,2026-09-20T04:01:24Z,010,2026-09-20T04:01:24Z,Allsvenskan,2026,2026-09-19,Vasteras SK,Malmo FF,2,0,H,1,0,H,,90_minutes,瓦斯特拉斯,马尔默
