source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260917&playType=FSPF&t=1,2026-09-20T04:01:24Z,001,2026-09-20T04:01:24Z,Asian Games Women,2026,2026-09-17,Uzbekistan Women,China Women,1,1,D,1,0,H,,90_minutes,乌兹别克斯坦女足,中国女足
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260917&playType=FSPF&t=1,2026-09-20T04:01:24Z,002,2026-09-20T04:01:24Z,AFC Champions League Two,2026-27,2026-09-17,Shanghai Shenhua,Tampines Rovers,2,1,H,1,1,D,,90_minutes,上海申花,淡滨尼流浪
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260917&playType=FSPF&t=1,2026-09-20T04:01:24Z,003,2026-09-20T04:01:24Z,Europa League,2026-27,2026-09-18,OFI Crete,Hoffenheim,2,0,H,1,0,H,,90_minutes,OFI克里特,霍芬海姆
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260917&playType=FSPF&t=1,2026-09-20T04:01:24Z,004,2026-09-20T04:01:24Z,La Liga,2026-27,2026-09-18,Real Betis,Getafe,1,0,H,1,0,H,,90_minutes,贝蒂斯,赫塔费
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260917&playType=FSPF&t=1,2026-09-20T04:01:24Z,005,2026-09-20T04:01:24Z,Europa League,2026-27,2026-09-18,Crystal Palace,Lech Poznan,4,0,H,3,0,H,,90_minutes,水晶宫,波兹南莱赫
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260917&playType=FSPF&t=1,2026-09-20T04:01:24Z,006,2026-09-20T04:01:24Z,Europa League,2026-27,2026-09-18,Real Sociedad,Bournemouth,1,2,A,0,2,A,,90_minutes,皇家社会,伯恩茅斯
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260917&playType=FSPF&t=1,2026-09-20T04:01:24Z,007,2026-09-20T04:01:24Z,Europa League,2026-27,2026-09-18,Juventus,NEC Nijmegen,5,0,H,3,0,H,,90_minutes,尤文图斯,奈梅亨
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260917&playType=FSPF&t=1,2026-09-20T04:01:24Z,008,2026-09-20T04:01:24Z,Europa League,2026-27,2026-09-18,Besiktas,Marseille,4,1,H,1,1,D,,90_minutes,贝西克塔斯,马赛
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260917&playType=FSPF&t=1,2026-09-20T04:01:24Z,009,2026-09-20T04:01:24Z,Europa League,2026-27,2026-09-18,Lillestrom,Torreense,1,2,A,0,1,A,,90_minutes,利勒斯特罗姆,托伦斯
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260917&playType=FSPF&t=1,2026-09-20T04:01:24Z,010,2026-09-20T04:01:24Z,La Liga,2026-27,2026-09-18,Malaga,Villarreal,1,3,A,1,2,A,,90_minutes,马拉加,比利亚雷亚尔
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260917&playType=FSPF&t=1,2026-09-20T04:01:24Z,011,2026-09-20T04:01:24Z,Copa Libertadores,2026-27,2026-09-18,Flamengo,Independiente del Valle,1,1,D,0,1,A,,90_minutes,弗拉门戈,山谷独立
