source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260914&playType=FSPF&t=1,2026-09-15T04:04:39Z,002,2026-09-15T04:04:39Z,Veikkausliiga,2026,2026-09-14,Inter Turku,VPS,1,0,H,,,,,90_minutes,国际图尔库,瓦萨
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260914&playType=FSPF&t=1,2026-09-15T04:04:39Z,003,2026-09-15T04:04:39Z,Serie A,2026-27,2026-09-15,Como,Parma,2,1,H,,,,,90_minutes,科莫,帕尔马
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260914&playType=FSPF&t=1,2026-09-15T04:04:39Z,004,2026-09-15T04:04:39Z,Serie A,2026-27,2026-09-15,Torino,Roma,0,2,A,,,,,90_minutes,都灵,罗马
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260914&playType=FSPF&t=1,2026-09-15T04:04:39Z,005,2026-09-15T04:04:39Z,Allsvenskan,2026,2026-09-15,Djurgarden,GAIS,2,0,H,,,,,90_minutes,佐加顿斯,盖斯
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260914&playType=FSPF&t=1,2026-09-15T04:04:39Z,006,2026-09-15T04:04:39Z,Eliteserien,2026,2026-09-15,Bodo/Glimt,Sandefjord,3,2,H,,,,,90_minutes,博德闪耀,桑纳菲尤尔
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260914&playType=FSPF&t=1,2026-09-15T04:04:39Z,007,2026-09-15T04:04:39Z,AFC Champions League Elite,2026-27,2026-09-15,Al Ahli,Pakhtakor,1,1,D,,,,,90_minutes,吉达国民,棉农
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260914&playType=FSPF&t=1,2026-09-15T04:04:39Z,008,2026-09-15T04:04:39Z,Serie A,2026-27,2026-09-15,Inter Milan,Udinese,5,3,H,,,,,90_minutes,国际米兰,乌迪内斯
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260914&playType=FSPF&t=1,2026-09-15T04:04:39Z,009,2026-09-15T04:04:39Z,Ligue 2,2026-27,2026-09-15,Red Star FC,Metz,1,0,H,,,,,90_minutes,圣旺红星,梅斯
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260914&playType=FSPF&t=1,2026-09-15T04:04:39Z,010,2026-09-15T04:04:39Z,Premier League,2026-27,2026-09-15,Leeds United,Newcastle United,4,1,H,,,,,90_minutes,利兹联,纽卡斯尔
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260914&playType=FSPF&t=1,2026-09-15T04:04:39Z,011,2026-09-15T04:04:39Z,La Liga,2026-27,2026-09-15,Villarreal,Real Betis,1,2,A,,,,,90_minutes,比利亚雷亚尔,贝蒂斯
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260914&playType=FSPF&t=1,2026-09-15T04:04:39Z,012,2026-09-15T04:04:39Z,Primeira Liga,2026-27,2026-09-15,Braga,Estoril,1,0,H,,,,,90_minutes,布拉加,埃斯托里尔
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260914&playType=FSPF&t=1,2026-09-15T04:04:39Z,014,2026-09-15T04:04:39Z,Asian Games Women,2026,2026-09-14,China Women,Hong Kong Women,5,1,H,,,,,90_minutes,中国女足,中国香港女足
