source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
cpbao+500+reports/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,1,2026-09-10T04:07:33Z,K League 1,2026,2026-09-09,Gangwon FC,Jeonbuk Hyundai Motors,1,1,D,,,,,90_minutes,江原FC,全北现代
cpbao+500+reports/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,2,2026-09-10T04:07:33Z,Saudi Pro League,2026-27,2026-09-09,Al Kholood,Al Shabab,2,1,H,,,,,90_minutes,拉斯永恒,利雅得青年
cpbao+reports/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,3,2026-09-10T04:07:33Z,UEFA Champions League,2026-27,2026-09-09,Barcelona,Feyenoord,5,1,H,,,,,90_minutes,巴塞罗那,费耶诺德
cpbao+reports/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,4,2026-09-10T04:07:33Z,UEFA Champions League,2026-27,2026-09-09,VfB Stuttgart,Viking FK,3,1,H,,,,,90_minutes,斯图加特,维京
cpbao/result-confirmed,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,5,2026-09-10T04:07:33Z,Eredivisie,2026-27,2026-09-09,FC Twente,Telstar,1,0,H,,,,,90_minutes,特温特,特尔斯达
cpbao+500+reports/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,6,2026-09-10T04:07:33Z,UEFA Champions League,2026-27,2026-09-09,Sporting CP,Galatasaray,3,1,H,,,,,90_minutes,里斯本竞技,加拉塔萨雷
cpbao+500+reports/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,7,2026-09-10T04:07:33Z,UEFA Champions League,2026-27,2026-09-09,Napoli,Arsenal,0,1,A,,,,,90_minutes,那不勒斯,阿森纳
cpbao+500+reports/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,8,2026-09-10T04:07:33Z,UEFA Champions League,2026-27,2026-09-09,Liverpool,Atletico Madrid,2,1,H,,,,,90_minutes,利物浦,马竞
cpbao+reports/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,9,2026-09-10T04:07:33Z,UEFA Champions League,2026-27,2026-09-09,Paris Saint-Germain,Slovan Bratislava,6,1,H,,,,,90_minutes,巴黎圣日耳曼,布拉迪斯拉发
cpbao+500/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,10,2026-09-10T04:07:33Z,Championship,2026-27,2026-09-09,Charlton Athletic,Queens Park Rangers,0,0,D,,,,,90_minutes,查尔顿,女王公园巡游者
cpbao+500+reports/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,11,2026-09-10T04:07:33Z,EFL Cup,2026-27,2026-09-09,Chelsea,Leeds United,6,3,H,,,,,90_minutes,切尔西,利兹联
cpbao+club/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,12,2026-09-10T04:07:33Z,Primeira Liga,2026-27,2026-09-09,Moreirense,Benfica,0,4,A,,,,,90_minutes,莫雷伦斯,本菲卡
cpbao+500+reports/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,13,2026-09-10T04:07:33Z,Copa Libertadores,2026,2026-09-09,Palmeiras,LDU Quito,1,0,H,,,,,90_minutes,帕尔梅拉斯,基多体育大学
cpbao+reports/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,14,2026-09-10T04:07:33Z,Copa Libertadores,2026,2026-09-09,Estudiantes,Corinthians,1,1,D,,,,,90_minutes,拉普拉塔大学生,科林蒂安
cpbao+reports/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260909&playType=FSPF&t=1,2026-09-10T04:07:33Z,15,2026-09-10T04:07:33Z,Major League Soccer,2026,2026-09-09,Chicago Fire,Inter Miami,1,1,D,,,,,90_minutes,芝加哥火焰,迈阿密国际
