source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260912&playType=FSPF&t=1,2026-09-13T04:03:05Z,1,2026-09-13T04:03:05Z,K League 1,2026,2026-09-12,Ulsan HD,Incheon United,2,1,H,,,,,90_minutes,蔚山现代,仁川联
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260912&playType=FSPF&t=1,2026-09-13T04:03:05Z,2,2026-09-13T04:03:05Z,K League 1,2026,2026-09-12,Jeonbuk Hyundai Motors,FC Seoul,1,2,A,,,,,90_minutes,全北现代,首尔FC
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260912&playType=FSPF&t=1,2026-09-13T04:03:05Z,3,2026-09-13T04:03:05Z,J1 League,2026,2026-09-12,Sanfrecce Hiroshima,Cerezo Osaka,6,1,H,,,,,90_minutes,广岛三箭,大阪樱花
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260912&playType=FSPF&t=1,2026-09-13T04:03:05Z,4,2026-09-13T04:03:05Z,J1 League,2026,2026-09-12,Gamba Osaka,FC Tokyo,0,2,A,,,,,90_minutes,大阪钢巴,东京FC
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260912&playType=FSPF&t=1,2026-09-13T04:03:05Z,5,2026-09-13T04:03:05Z,La Liga,2026-27,2026-09-12,Racing Santander,Alaves,2,1,H,,,,,90_minutes,桑坦德竞技,阿拉维斯
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260912&playType=FSPF&t=1,2026-09-13T04:03:05Z,6,2026-09-13T04:03:05Z,Serie A,2026-27,2026-09-12,Genoa,Frosinone,1,1,D,,,,,90_minutes,热那亚,弗洛西诺内
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260912&playType=FSPF&t=1,2026-09-13T04:03:05Z,7,2026-09-13T04:03:05Z,Bundesliga,2026-27,2026-09-12,Freiburg,Borussia Monchengladbach,5,0,H,,,,,90_minutes,弗赖堡,门兴
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260912&playType=FSPF&t=1,2026-09-13T04:03:05Z,8,2026-09-13T04:03:05Z,Bundesliga,2026-27,2026-09-12,Mainz 05,Eintracht Frankfurt,1,3,A,,,,,90_minutes,美因茨,法兰克福
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260912&playType=FSPF&t=1,2026-09-13T04:03:05Z,9,2026-09-13T04:03:05Z,Bundesliga,2026-27,2026-09-12,Borussia Dortmund,Paderborn,3,0,H,,,,,90_minutes,多特蒙德,帕德博恩
cpbao+crosscheck/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260912&playType=FSPF&t=1,2026-09-13T04:03:05Z,10,2026-09-13T04:03:05Z,Bundesliga,2026-27,2026-09-12,Augsburg,Bayer Leverkusen,2,2,D,,,,,90_minutes,奥格斯堡,勒沃库森
