season,date,local_time,stage,home_team,away_team,ft_home_goals,ft_away_goals,ht_home_goals,ht_away_goals,ft_result
2022-23,2022-10-04,,Group A,Liverpool FC,Rangers FC,2,0,1,0,H
2022-23,2022-10-12,18:45,Group A,SSC Napoli,AFC Ajax,4,2,2,0,H
2022-23,2022-10-12,21:00,Group A,Rangers FC,Liverpool FC,1,7,1,1,A
2022-23,2022-10-26,21:00,Group A,AFC Ajax,Liverpool FC,0,3,0,1,A
2022-23,2022-10-26,,Group A,SSC Napoli,Rangers FC,3,0,2,0,H
2022-23,2022-11-01,21:00,Group A,Rangers FC,AFC Ajax,1,3,0,2,A
2022-23,2022-11-01,,Group A,Liverpool FC,SSC Napoli,2,0,0,0,H
2022-23,2022-09-07,21:00,Group B,Atlético Madrid,FC Porto,2,1,0,0,H
2022-23,2022-09-07,,Group B,Club Brugge KV,Bayer Leverkusen,1,0,1,0,H
2022-23,2022-09-13,21:00,Group B,Bayer Leverkusen,Atlético Madrid,2,0,0,0,H
2022-23,2022-09-13,,Group B,FC Porto,Club Brugge KV,0,4,0,1,A
2022-23,2022-10-04,21:00,Group B,Club Brugge KV,Atlético Madrid,2,0,1,0,H
2022-23,2022-10-04,,Group B,FC Porto,Bayer Leverkusen,2,0,0,0,H
2022-23,2022-10-12,18:45,Group B,Atlético Madrid,Club Brugge KV,0,0,,,D
2022-23,2022-10-12,21:00,Group B,Bayer Leverkusen,FC Porto,0,3,0,1,A
2022-23,2022-10-26,18:45,Group B,Club Brugge KV,FC Porto,0,4,0,1,A
2022-23,2022-10-26,21:00,Group B,Atlético Madrid,Bayer Leverkusen,2,2,1,2,D
2022-23,2022-11-01,18:45,Group B,FC Porto,Atlético Madrid,2,1,2,0,H
2022-23,2022-11-01,,Group B,Bayer Leverkusen,Club Brugge KV,0,0,,,D
2022-23,2022-09-07,21:00,Group C,Inter,Bayern München,0,2,0,1,A
2022-23,2022-09-07,,Group C,FC Barcelona,Viktoria Plzeň,5,1,3,1,H
2022-23,2022-09-13,18:45,Group C,Viktoria Plzeň,Inter,0,2,0,1,A
2022-23,2022-09-13,21:00,Group C,Bayern München,FC Barcelona,2,0,0,0,H
2022-23,2022-10-04,18:45,Group C,Bayern München,Viktoria Plzeň,5,0,3,0,H
2022-23,2022-10-04,21:00,Group C,Inter,FC Barcelona,1,0,1,0,H
2022-23,2022-10-12,21:00,Group C,Viktoria Plzeň,Bayern München,2,4,0,4,A
2022-23,2022-10-12,,Group C,FC Barcelona,Inter,3,3,1,0,D
2022-23,2022-10-26,18:45,Group C,Inter,Viktoria Plzeň,4,0,2,0,H
2022-23,2022-10-26,21:00,Group C,FC Barcelona,Bayern München,0,3,0,2,A
2022-23,2022-11-01,21:00,Group C,Bayern München,Inter,2,0,1,0,H
2022-23,2022-11-01,,Group C,Viktoria Plzeň,FC Barcelona,2,4,0,2,A
2022-23,2022-09-07,18:45,Group D,Eintracht Frankfurt,Sporting CP,0,3,0,0,A
2022-23,2022-09-07,21:00,Group D,Tottenham Hotspur,Olympique Marseille,2,0,0,0,H
2022-23,2022-09-13,18:45,Group D,Sporting CP,Tottenham Hotspur,2,0,0,0,H
2022-23,2022-09-13,21:00,Group D,Olympique Marseille,Eintracht Frankfurt,0,1,0,1,A
2022-23,2022-10-04,18:45,Group D,Olympique Marseille,Sporting CP,4,1,3,1,H
2022-23,2022-10-04,21:00,Group D,Eintracht Frankfurt,Tottenham Hotspur,0,0,,,D
2022-23,2022-10-12,21:00,Group D,Tottenham Hotspur,Eintracht Frankfurt,3,2,3,1,H
2022-23,2022-10-12,,Group D,Sporting CP,Olympique Marseille,0,2,0,2,A
2022-23,2022-10-26,21:00,Group D,Eintracht Frankfurt,Olympique Marseille,2,1,2,1,H
2022-23,2022-10-26,,Group D,Tottenham Hotspur,Sporting CP,1,1,0,1,D
2022-23,2022-11-01,21:00,Group D,Sporting CP,Eintracht Frankfurt,1,2,1,0,A
2022-23,2022-11-01,,Group D,Olympique Marseille,Tottenham Hotspur,1,2,1,0,A
2022-23,2022-09-06,18:45,Group E,Dinamo Zagreb,Chelsea FC,1,0,1,0,H
2022-23,2022-09-06,21:00,Group E,RB Salzburg,AC Milan,1,1,1,1,D
2022-23,2022-09-14,18:45,Group E,AC Milan,Dinamo Zagreb,3,1,1,0,H
2022-23,2022-09-14,21:00,Group E,Chelsea FC,RB Salzburg,1,1,0,0,D
2022-23,2022-10-05,18:45,Group E,RB Salzburg,Dinamo Zagreb,1,0,0,0,H
2022-23,2022-10-05,21:00,Group E,Chelsea FC,AC Milan,3,0,1,0,H
2022-23,2022-10-11,21:00,Group E,AC Milan,Chelsea FC,0,2,0,2,A
2022-23,2022-10-11,,Group E,Dinamo Zagreb,RB Salzburg,1,1,1,1,D
2022-23,2022-10-25,18:45,Group E,RB Salzburg,Chelsea FC,1,2,0,1,A
2022-23,2022-10-25,21:00,Group E,Dinamo Zagreb,AC Milan,0,4,0,1,A
2022-23,2022-11-02,21:00,Group E,AC Milan,RB Salzburg,4,0,1,0,H
2022-23,2022-11-02,,Group E,Chelsea FC,Dinamo Zagreb,2,1,2,1,H
2022-23,2022-09-06,21:00,Group F,Celtic FC,Real Madrid,0,3,0,0,A
2022-23,2022-09-06,,Group F,RB Leipzig,Shakhtar Donetsk,1,4,0,1,A
2022-23,2022-09-14,18:45,Group F,Shakhtar Donetsk,Celtic FC,1,1,1,1,D
2022-23,2022-09-14,21:00,Group F,Real Madrid,RB Leipzig,2,0,0,0,H
2022-23,2022-10-05,18:45,Group F,RB Leipzig,Celtic FC,3,1,1,0,H
2022-23,2022-10-05,21:00,Group F,Real Madrid,Shakhtar Donetsk,2,1,2,1,H
2022-23,2022-10-11,21:00,Group F,Celtic FC,RB Leipzig,0,2,0,0,A
2022-23,2022-10-11,,Group F,Shakhtar Donetsk,Real Madrid,1,1,0,0,D
2022-23,2022-10-25,21:00,Group F,Celtic FC,Shakhtar Donetsk,1,1,1,0,D
2022-23,2022-10-25,,Group F,RB Leipzig,Real Madrid,3,2,2,1,H
2022-23,2022-11-02,18:45,Group F,Real Madrid,Celtic FC,5,1,2,0,H
2022-23,2022-11-02,,Group F,Shakhtar Donetsk,RB Leipzig,0,4,0,1,A
2022-23,2022-09-06,18:45,Gruppe G,Borussia Dortmund,FC København,3,0,2,0,H
2022-23,2022-09-06,21:00,Gruppe G,Sevilla FC,Manchester City,0,4,0,1,A
2022-23,2022-09-14,21:00,Gruppe G,Manchester City,Borussia Dortmund,2,1,0,0,H
2022-23,2022-09-14,,Gruppe G,FC København,Sevilla FC,0,0,,,D
2022-23,2022-10-05,21:00,Gruppe G,Sevilla FC,Borussia Dortmund,1,4,0,3,A
2022-23,2022-10-05,,Gruppe G,Manchester City,FC København,5,0,3,0,H
2022-23,2022-10-11,18:45,Gruppe G,FC København,Manchester City,0,0,,,D
2022-23,2022-10-11,21:00,Gruppe G,Borussia Dortmund,Sevilla FC,1,1,1,1,D
2022-23,2022-10-25,18:45,Gruppe G,Sevilla FC,FC København,3,0,0,0,H
2022-23,2022-10-25,21:00,Gruppe G,Borussia Dortmund,Manchester City,0,0,,,D
2022-23,2022-11-02,21:00,Gruppe G,FC København,Borussia Dortmund,1,1,1,1,D
2022-23,2022-11-02,,Gruppe G,Manchester City,Sevilla FC,3,1,0,1,H
2022-23,2022-09-06,21:00,Gruppe H,Paris Saint-Germain,Juventus,2,1,2,0,H
2022-23,2022-09-06,,Gruppe H,SL Benfica,Maccabi Haifa,2,0,0,0,H
2022-23,2022-09-14,21:00,Gruppe H,Juventus,SL Benfica,1,2,1,1,A
2022-23,2022-09-14,,Gruppe H,Maccabi Haifa,Paris Saint-Germain,1,3,1,1,A
2022-23,2022-10-05,21:00,Gruppe H,Juventus,Maccabi Haifa,3,1,1,0,H
2022-23,2022-10-05,,Gruppe H,SL Benfica,Paris Saint-Germain,1,1,1,1,D
2022-23,2022-10-11,18:45,Gruppe H,Maccabi Haifa,Juventus,2,0,2,0,H
2022-23,2022-10-11,21:00,Gruppe H,Paris Saint-Germain,SL Benfica,1,1,1,0,D
2022-23,2022-10-25,21:00,Gruppe H,SL Benfica,Juventus,4,3,2,1,H
2022-23,2022-10-25,,Gruppe H,Paris Saint-Germain,Maccabi Haifa,7,2,4,1,H
2022-23,2022-11-02,21:00,Gruppe H,Juventus,Paris Saint-Germain,1,2,1,1,A
2022-23,2022-11-02,,Gruppe H,Maccabi Haifa,SL Benfica,1,6,1,1,A
2022-23,2023-02-14,21:00,Round of 16,AC Milan,Tottenham Hotspur,1,0,1,0,H
2022-23,2023-02-14,,Round of 16,Paris Saint-Germain,Bayern München,0,1,0,0,A
2022-23,2023-02-15,21:00,Round of 16,Club Brugge KV,SL Benfica,0,2,0,0,A
2022-23,2023-02-15,,Round of 16,Borussia Dortmund,Chelsea FC,1,0,0,0,H
2022-23,2023-02-21,21:00,Round of 16,Liverpool FC,Real Madrid,2,5,2,2,A
2022-23,2023-02-21,,Round of 16,Eintracht Frankfurt,SSC Napoli,0,2,0,1,A
2022-23,2023-02-22,21:00,Round of 16,RB Leipzig,Manchester City,1,1,0,1,D
2022-23,2023-02-22,,Round of 16,Inter,FC Porto,1,0,0,0,H
2022-23,2023-03-07,21:00,Round of 16,SL Benfica,Club Brugge KV,5,1,2,0,H
2022-23,2023-03-07,21:10,Round of 16,Chelsea FC,Borussia Dortmund,2,0,1,0,H
2022-23,2023-03-08,21:00,Round of 16,Bayern München,Paris Saint-Germain,2,0,0,0,H
2022-23,2023-03-08,21:10,Round of 16,Tottenham Hotspur,AC Milan,0,0,,,D
2022-23,2023-03-14,21:00,Round of 16,Manchester City,RB Leipzig,7,0,3,0,H
2022-23,2023-03-14,,Round of 16,FC Porto,Inter,0,0,,,D
2022-23,2023-03-15,21:00,Round of 16,Real Madrid,Liverpool FC,1,0,0,0,H
2022-23,2023-03-15,,Round of 16,SSC Napoli,Eintracht Frankfurt,3,0,1,0,H
2022-23,2023-04-11,21:00,Quarterfinals,SL Benfica,Inter,0,2,0,0,A
2022-23,2023-04-11,,Quarterfinals,Manchester City,Bayern München,3,0,1,0,H
2022-23,2023-04-12,21:00,Quarterfinals,Real Madrid,Chelsea FC,2,0,1,0,H
2022-23,2023-04-12,,Quarterfinals,AC Milan,SSC Napoli,1,0,1,0,H
2022-23,2023-04-18,21:00,Quarterfinals,Chelsea FC,Real Madrid,0,2,0,0,A
2022-23,2023-04-18,,Quarterfinals,SSC Napoli,AC Milan,1,1,0,1,D
2022-23,2023-04-19,21:00,Quarterfinals,Inter,SL Benfica,3,3,1,1,D
2022-23,2023-04-19,,Quarterfinals,Bayern München,Manchester City,1,1,0,0,D
2022-23,2023-05-09,21:00,Semifinals,Real Madrid,Manchester City,1,1,1,0,D
2022-23,2023-05-10,21:00,Semifinals,AC Milan,Inter,0,2,0,2,A
2022-23,2023-05-16,21:00,Semifinals,Inter,AC Milan,1,0,0,0,H
2022-23,2023-05-17,21:00,Semifinals,Manchester City,Real Madrid,4,0,2,0,H
2022-23,2023-06-10,21:00,Final,Manchester City,Inter,1,0,0,0,H
2023-24,2023-09-19,18:45,"Group, Matchday 1",AC Milan,Newcastle United FC,0,0,,,D
2023-24,2023-09-19,,"Group, Matchday 1",BSC Young Boys,RB Leipzig,1,3,1,1,A
2023-24,2023-09-19,21:00,"Group, Matchday 1",SS Lazio,Club Atlético de Madrid,1,1,0,1,D
2023-24,2023-09-19,,"Group, Matchday 1",Feyenoord Rotterdam,Celtic FC,2,0,1,0,H
2023-24,2023-09-19,,"Group, Matchday 1",Paris Saint-Germain FC,Borussia Dortmund,2,0,0,0,H
2023-24,2023-09-19,,"Group, Matchday 1",Manchester City FC,FK Crvena Zvezda,3,1,0,1,H
2023-24,2023-09-19,,"Group, Matchday 1",FC Barcelona,Royal Antwerp FC,5,0,3,0,H
2023-24,2023-09-19,,"Group, Matchday 1",FK Shakhtar Donetsk,FC Porto,1,3,1,3,A
2023-24,2023-09-20,18:45,"Group, Matchday 1",Real Madrid CF,1. FC Union Berlin,1,0,0,0,H
2023-24,2023-09-20,,"Group, Matchday 1",Galatasaray SK,FC København,2,2,0,1,D
2023-24,2023-09-20,21:00,"Group, Matchday 1",Sevilla FC,Racing Club de Lens,1,1,1,1,D
2023-24,2023-09-20,,"Group, Matchday 1",Sporting Clube de Braga,SSC Napoli,1,2,0,1,A
2023-24,2023-09-20,,"Group, Matchday 1",Real Sociedad de Fútbol,FC Internazionale Milano,1,1,1,0,D
2023-24,2023-09-20,,"Group, Matchday 1",Sport Lisboa e Benfica,FC Red Bull Salzburg,0,2,0,1,A
2023-24,2023-09-20,,"Group, Matchday 1",FC Bayern München,Manchester United FC,4,3,2,0,H
2023-24,2023-09-20,,"Group, Matchday 1",Arsenal FC,PSV,4,0,3,0,H
2023-24,2023-10-03,18:45,"Group, Matchday 2",1. FC Union Berlin,Sporting Clube de Braga,2,3,2,1,A
2023-24,2023-10-03,,"Group, Matchday 2",FC Red Bull Salzburg,Real Sociedad de Fútbol,0,2,0,2,A
2023-24,2023-10-03,21:00,"Group, Matchday 2",SSC Napoli,Real Madrid CF,2,3,1,2,A
2023-24,2023-10-03,,"Group, Matchday 2",FC Internazionale Milano,Sport Lisboa e Benfica,1,0,0,0,H
2023-24,2023-10-03,,"Group, Matchday 2",FC København,FC Bayern München,1,2,0,0,A
2023-24,2023-10-03,,"Group, Matchday 2",Manchester United FC,Galatasaray SK,2,3,1,1,A
2023-24,2023-10-03,,"Group, Matchday 2",Racing Club de Lens,Arsenal FC,2,1,1,1,H
2023-24,2023-10-03,,"Group, Matchday 2",PSV,Sevilla FC,2,2,0,0,D
2023-24,2023-10-04,18:45,"Group, Matchday 2",Club Atlético de Madrid,Feyenoord Rotterdam,3,2,2,2,H
2023-24,2023-10-04,,"Group, Matchday 2",Royal Antwerp FC,FK Shakhtar Donetsk,2,3,2,0,A
2023-24,2023-10-04,21:00,"Group, Matchday 2",Celtic FC,SS Lazio,1,2,1,1,A
2023-24,2023-10-04,,"Group, Matchday 2",Borussia Dortmund,AC Milan,0,0,,,D
2023-24,2023-10-04,,"Group, Matchday 2",Newcastle United FC,Paris Saint-Germain FC,4,1,2,0,H
2023-24,2023-10-04,,"Group, Matchday 2",FK Crvena Zvezda,BSC Young Boys,2,2,1,0,D
2023-24,2023-10-04,,"Group, Matchday 2",RB Leipzig,Manchester City FC,1,3,0,1,A
2023-24,2023-10-04,,"Group, Matchday 2",FC Porto,FC Barcelona,0,1,0,1,A
2023-24,2023-10-24,18:45,"Group, Matchday 3",FC Internazionale Milano,FC Red Bull Salzburg,2,1,1,0,H
2023-24,2023-10-24,,"Group, Matchday 3",Galatasaray SK,FC Bayern München,1,3,1,1,A
2023-24,2023-10-24,21:00,"Group, Matchday 3",1. FC Union Berlin,SSC Napoli,0,1,0,0,A
2023-24,2023-10-24,,"Group, Matchday 3",Sporting Clube de Braga,Real Madrid CF,1,2,0,1,A
2023-24,2023-10-24,,"Group, Matchday 3",Sport Lisboa e Benfica,Real Sociedad de Fútbol,0,1,0,0,A
2023-24,2023-10-24,,"Group, Matchday 3",Manchester United FC,FC København,1,0,0,0,H
2023-24,2023-10-24,,"Group, Matchday 3",Sevilla FC,Arsenal FC,1,2,0,1,A
2023-24,2023-10-24,,"Group, Matchday 3",Racing Club de Lens,PSV,1,1,0,0,D
2023-24,2023-10-25,18:45,"Group, Matchday 3",Feyenoord Rotterdam,SS Lazio,3,1,2,0,H
2023-24,2023-10-25,,"Group, Matchday 3",FC Barcelona,FK Shakhtar Donetsk,2,1,2,0,H
2023-24,2023-10-25,21:00,"Group, Matchday 3",Celtic FC,Club Atlético de Madrid,2,2,2,1,D
2023-24,2023-10-25,,"Group, Matchday 3",Paris Saint-Germain FC,AC Milan,3,0,1,0,H
2023-24,2023-10-25,,"Group, Matchday 3",Newcastle United FC,Borussia Dortmund,0,1,0,1,A
2023-24,2023-10-25,,"Group, Matchday 3",BSC Young Boys,Manchester City FC,1,3,0,0,A
2023-24,2023-10-25,,"Group, Matchday 3",RB Leipzig,FK Crvena Zvezda,3,1,1,0,H
2023-24,2023-10-25,,"Group, Matchday 3",Royal Antwerp FC,FC Porto,1,4,1,0,A
2023-24,2023-11-07,18:45,"Group, Matchday 4",Borussia Dortmund,Newcastle United FC,2,0,1,0,H
2023-24,2023-11-07,,"Group, Matchday 4",FK Shakhtar Donetsk,FC Barcelona,1,0,1,0,H
2023-24,2023-11-07,21:00,"Group, Matchday 4",Club Atlético de Madrid,Celtic FC,6,0,2,0,H
2023-24,2023-11-07,,"Group, Matchday 4",SS Lazio,Feyenoord Rotterdam,1,0,1,0,H
2023-24,2023-11-07,,"Group, Matchday 4",AC Milan,Paris Saint-Germain FC,2,1,1,1,H
2023-24,2023-11-07,,"Group, Matchday 4",Manchester City FC,BSC Young Boys,3,0,2,0,H
2023-24,2023-11-07,,"Group, Matchday 4",FK Crvena Zvezda,RB Leipzig,1,2,0,1,A
2023-24,2023-11-07,,"Group, Matchday 4",FC Porto,Royal Antwerp FC,2,0,1,0,H
2023-24,2023-11-08,18:45,"Group, Matchday 4",SSC Napoli,1. FC Union Berlin,1,1,1,0,D
2023-24,2023-11-08,,"Group, Matchday 4",Real Sociedad de Fútbol,Sport Lisboa e Benfica,3,1,3,0,H
2023-24,2023-11-08,21:00,"Group, Matchday 4",Real Madrid CF,Sporting Clube de Braga,3,0,1,0,H
2023-24,2023-11-08,,"Group, Matchday 4",FC Red Bull Salzburg,FC Internazionale Milano,0,1,0,0,A
2023-24,2023-11-08,,"Group, Matchday 4",FC Bayern München,Galatasaray SK,2,1,0,0,H
2023-24,2023-11-08,,"Group, Matchday 4",FC København,Manchester United FC,4,3,2,2,H
2023-24,2023-11-08,,"Group, Matchday 4",Arsenal FC,Sevilla FC,2,0,1,0,H
2023-24,2023-11-08,,"Group, Matchday 4",PSV,Racing Club de Lens,1,0,1,0,H
2023-24,2023-11-28,18:45,"Group, Matchday 5",SS Lazio,Celtic FC,2,0,0,0,H
2023-24,2023-11-28,,"Group, Matchday 5",FK Shakhtar Donetsk,Royal Antwerp FC,1,0,1,0,H
2023-24,2023-11-28,21:00,"Group, Matchday 5",Feyenoord Rotterdam,Club Atlético de Madrid,1,3,0,1,A
2023-24,2023-11-28,,"Group, Matchday 5",AC Milan,Borussia Dortmund,1,3,1,1,A
2023-24,2023-11-28,,"Group, Matchday 5",Paris Saint-Germain FC,Newcastle United FC,1,1,0,1,D
2023-24,2023-11-28,,"Group, Matchday 5",BSC Young Boys,FK Crvena Zvezda,2,0,2,0,H
2023-24,2023-11-28,,"Group, Matchday 5",Manchester City FC,RB Leipzig,3,2,0,2,H
2023-24,2023-11-28,,"Group, Matchday 5",FC Barcelona,FC Porto,2,1,1,1,H
2023-24,2023-11-29,18:45,"Group, Matchday 5",Galatasaray SK,Manchester United FC,3,3,1,2,D
2023-24,2023-11-29,,"Group, Matchday 5",Sevilla FC,PSV,2,3,1,0,A
2023-24,2023-11-29,21:00,"Group, Matchday 5",Sporting Clube de Braga,1. FC Union Berlin,1,1,0,1,D
2023-24,2023-11-29,,"Group, Matchday 5",Real Madrid CF,SSC Napoli,4,2,2,1,H
2023-24,2023-11-29,,"Group, Matchday 5",Sport Lisboa e Benfica,FC Internazionale Milano,3,3,3,0,D
2023-24,2023-11-29,,"Group, Matchday 5",Real Sociedad de Fútbol,FC Red Bull Salzburg,0,0,,,D
2023-24,2023-11-29,,"Group, Matchday 5",FC Bayern München,FC København,0,0,,,D
2023-24,2023-11-29,,"Group, Matchday 5",Arsenal FC,Racing Club de Lens,6,0,5,0,H
2023-24,2023-12-12,18:45,"Group, Matchday 6",PSV,Arsenal FC,1,1,0,1,D
2023-24,2023-12-12,,"Group, Matchday 6",Racing Club de Lens,Sevilla FC,2,1,0,0,H
2023-24,2023-12-12,21:00,"Group, Matchday 6",1. FC Union Berlin,Real Madrid CF,2,3,1,0,A
2023-24,2023-12-12,,"Group, Matchday 6",SSC Napoli,Sporting Clube de Braga,2,0,2,0,H
2023-24,2023-12-12,,"Group, Matchday 6",FC Internazionale Milano,Real Sociedad de Fútbol,0,0,,,D
2023-24,2023-12-12,,"Group, Matchday 6",FC Red Bull Salzburg,Sport Lisboa e Benfica,1,3,0,2,A
2023-24,2023-12-12,,"Group, Matchday 6",Manchester United FC,FC Bayern München,0,1,0,0,A
2023-24,2023-12-12,,"Group, Matchday 6",FC København,Galatasaray SK,1,0,0,0,H
2023-24,2023-12-13,18:45,"Group, Matchday 6",RB Leipzig,BSC Young Boys,2,1,0,0,H
2023-24,2023-12-13,,"Group, Matchday 6",FK Crvena Zvezda,Manchester City FC,2,3,0,1,A
2023-24,2023-12-13,21:00,"Group, Matchday 6",Club Atlético de Madrid,SS Lazio,2,0,1,0,H
2023-24,2023-12-13,,"Group, Matchday 6",Celtic FC,Feyenoord Rotterdam,2,1,1,0,H
2023-24,2023-12-13,,"Group, Matchday 6",Newcastle United FC,AC Milan,1,2,1,0,A
2023-24,2023-12-13,,"Group, Matchday 6",Borussia Dortmund,Paris Saint-Germain FC,1,1,0,0,D
2023-24,2023-12-13,,"Group, Matchday 6",Royal Antwerp FC,FC Barcelona,3,2,1,1,H
2023-24,2023-12-13,,"Group, Matchday 6",FC Porto,FK Shakhtar Donetsk,5,3,2,1,H
2023-24,2024-02-13,21:00,"Finals, Round of 16",FC København,Manchester City FC,1,3,1,2,A
2023-24,2024-02-13,,"Finals, Round of 16",RB Leipzig,Real Madrid CF,0,1,0,0,A
2023-24,2024-02-14,21:00,"Finals, Round of 16",Paris Saint-Germain FC,Real Sociedad de Fútbol,2,0,0,0,H
2023-24,2024-02-14,,"Finals, Round of 16",SS Lazio,FC Bayern München,1,0,0,0,H
2023-24,2024-02-20,21:00,"Finals, Round of 16",FC Internazionale Milano,Club Atlético de Madrid,1,0,0,0,H
2023-24,2024-02-20,,"Finals, Round of 16",PSV,Borussia Dortmund,1,1,0,1,D
2023-24,2024-02-21,21:00,"Finals, Round of 16",FC Porto,Arsenal FC,1,0,0,0,H
2023-24,2024-02-21,,"Finals, Round of 16",SSC Napoli,FC Barcelona,1,1,0,0,D
2023-24,2024-03-05,21:00,"Finals, Round of 16",Real Sociedad de Fútbol,Paris Saint-Germain FC,1,2,0,1,A
2023-24,2024-03-05,,"Finals, Round of 16",FC Bayern München,SS Lazio,3,0,2,0,H
2023-24,2024-03-06,21:00,"Finals, Round of 16",Manchester City FC,FC København,3,1,3,1,H
2023-24,2024-03-06,,"Finals, Round of 16",Real Madrid CF,RB Leipzig,1,1,0,0,D
2023-24,2024-03-12,21:00,"Finals, Round of 16",Arsenal FC,FC Porto,1,0,1,0,H
2023-24,2024-03-12,,"Finals, Round of 16",FC Barcelona,SSC Napoli,3,1,2,1,H
2023-24,2024-03-13,21:00,"Finals, Round of 16",Club Atlético de Madrid,FC Internazionale Milano,2,1,1,1,H
2023-24,2024-03-13,,"Finals, Round of 16",Borussia Dortmund,PSV,2,0,1,0,H
2023-24,2024-04-09,21:00,"Finals, Quarterfinals",Arsenal FC,FC Bayern München,2,2,1,2,D
2023-24,2024-04-09,,"Finals, Quarterfinals",Real Madrid CF,Manchester City FC,3,3,2,1,D
2023-24,2024-04-10,21:00,"Finals, Quarterfinals",Club Atlético de Madrid,Borussia Dortmund,2,1,2,0,H
2023-24,2024-04-10,,"Finals, Quarterfinals",Paris Saint-Germain FC,FC Barcelona,2,3,0,1,A
2023-24,2024-04-16,21:00,"Finals, Quarterfinals",Borussia Dortmund,Club Atlético de Madrid,4,2,2,0,H
2023-24,2024-04-16,,"Finals, Quarterfinals",FC Barcelona,Paris Saint-Germain FC,1,4,1,1,A
2023-24,2024-04-17,21:00,"Finals, Quarterfinals",FC Bayern München,Arsenal FC,1,0,0,0,H
2023-24,2024-04-17,,"Finals, Quarterfinals",Manchester City FC,Real Madrid CF,1,1,0,1,D
2023-24,2024-04-30,21:00,"Finals, Semifinals",FC Bayern München,Real Madrid CF,2,2,0,1,D
2023-24,2024-05-01,21:00,"Finals, Semifinals",Borussia Dortmund,Paris Saint-Germain FC,1,0,1,0,H
2023-24,2024-05-07,21:00,"Finals, Semifinals",Paris Saint-Germain FC,Borussia Dortmund,0,1,0,0,A
2023-24,2024-05-08,21:00,"Finals, Semifinals",Real Madrid CF,FC Bayern München,2,1,0,0,H
2023-24,2024-06-01,21:00,"Finals, Final",Borussia Dortmund,Real Madrid CF,0,2,0,0,A
2024-25,2024-09-17,18:45,"League, Matchday 1",BSC Young Boys,Aston Villa FC,0,3,0,2,A
2024-25,2024-09-17,,"League, Matchday 1",Juventus FC,PSV,3,1,2,0,H
2024-25,2024-09-17,21:00,"League, Matchday 1",Sporting Clube de Portugal,Lille OSC,2,0,1,0,H
2024-25,2024-09-17,,"League, Matchday 1",FC Bayern München,GNK Dinamo Zagreb,9,2,3,0,H
2024-25,2024-09-17,,"League, Matchday 1",Real Madrid CF,VfB Stuttgart,3,1,0,0,H
2024-25,2024-09-17,,"League, Matchday 1",AC Milan,Liverpool FC,1,3,1,2,A
2024-25,2024-09-18,18:45,"League, Matchday 1",Bologna FC 1909,FK Shakhtar Donetsk,0,0,,,D
2024-25,2024-09-18,,"League, Matchday 1",AC Sparta Praha,FC Red Bull Salzburg,3,0,2,0,H
2024-25,2024-09-18,21:00,"League, Matchday 1",Manchester City FC,FC Internazionale Milano,0,0,,,D
2024-25,2024-09-18,,"League, Matchday 1",Paris Saint-Germain FC,Girona FC,1,0,0,0,H
2024-25,2024-09-18,,"League, Matchday 1",Club Brugge KV,Borussia Dortmund,0,3,0,0,A
2024-25,2024-09-18,,"League, Matchday 1",Celtic FC,ŠK Slovan Bratislava,5,1,1,0,H
2024-25,2024-09-19,18:45,"League, Matchday 1",Feyenoord Rotterdam,Bayer 04 Leverkusen,0,4,0,4,A
2024-25,2024-09-19,,"League, Matchday 1",FK Crvena Zvezda,Sport Lisboa e Benfica,1,2,0,2,A
2024-25,2024-09-19,21:00,"League, Matchday 1",AS Monaco FC,FC Barcelona,2,1,1,1,H
2024-25,2024-09-19,,"League, Matchday 1",Stade Brestois 29,SK Sturm Graz,2,1,1,1,H
2024-25,2024-09-19,,"League, Matchday 1",Atalanta BC,Arsenal FC,0,0,,,D
2024-25,2024-09-19,,"League, Matchday 1",Club Atlético de Madrid,RB Leipzig,2,1,1,1,H
2024-25,2024-10-01,18:45,"League, Matchday 2",VfB Stuttgart,AC Sparta Praha,1,1,1,1,D
2024-25,2024-10-01,,"League, Matchday 2",FC Red Bull Salzburg,Stade Brestois 29,0,4,0,1,A
2024-25,2024-10-01,21:00,"League, Matchday 2",ŠK Slovan Bratislava,Manchester City FC,0,4,0,2,A
2024-25,2024-10-01,,"League, Matchday 2",Borussia Dortmund,Celtic FC,7,1,5,1,H
2024-25,2024-10-01,,"League, Matchday 2",FC Barcelona,BSC Young Boys,5,0,3,0,H
2024-25,2024-10-01,,"League, Matchday 2",FC Internazionale Milano,FK Crvena Zvezda,4,0,1,0,H
2024-25,2024-10-01,,"League, Matchday 2",Bayer 04 Leverkusen,AC Milan,1,0,0,0,H
2024-25,2024-10-01,,"League, Matchday 2",Arsenal FC,Paris Saint-Germain FC,2,0,2,0,H
2024-25,2024-10-01,,"League, Matchday 2",PSV,Sporting Clube de Portugal,1,1,1,0,D
2024-25,2024-10-02,18:45,"League, Matchday 2",Girona FC,Feyenoord Rotterdam,2,3,1,2,A
2024-25,2024-10-02,,"League, Matchday 2",FK Shakhtar Donetsk,Atalanta BC,0,3,0,2,A
2024-25,2024-10-02,21:00,"League, Matchday 2",Aston Villa FC,FC Bayern München,1,0,0,0,H
2024-25,2024-10-02,,"League, Matchday 2",SK Sturm Graz,Club Brugge KV,0,1,0,1,A
